"1d7e4c9","Benjamin Lister","Fri, 17 May 2024 12:52:39 +0100","IWP-48 | Fixed feed caching recall",	 1 file changed, 15 insertions(+), 6 deletions(-)	
"e5d5b9d","Koustav Muhuri","Wed, 17 Apr 2024 14:28:07 +0100","IWP-43|| User Profile",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"f5d4741","Koustav Muhuri","Wed, 17 Apr 2024 14:20:39 +0100","IWP-43|| Update Profile",	 4 files changed, 67 insertions(+), 7 deletions(-)	
"86f43b9","Benjamin Lister","Mon, 15 Apr 2024 13:17:20 +0100","IWP-41 | Added search text to navbar when it exists within the scope of the page",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"4306211","Benjamin Lister","Mon, 15 Apr 2024 13:15:04 +0100","IWP-41 | Added search ability to search page",	 7 files changed, 212 insertions(+), 47 deletions(-)	
"541d3cf","Benjamin Lister","Mon, 15 Apr 2024 12:35:28 +0100","IWP-41 | Created user_pill component for displaying information about a user and added to post pages",	 4 files changed, 11 insertions(+), 19 deletions(-)	
"9c83dee","Benjamin Lister","Sun, 14 Apr 2024 18:32:35 +0100","IWP-45 | Adjusted views to make use of the avatar_url virtual rather than a hard-coded URL",	 5 files changed, 5 insertions(+), 5 deletions(-)	
"77f1820","Benjamin Lister","Sun, 14 Apr 2024 18:28:07 +0100","IWP-45 | Fixed issue with password fields not being required. Refactored the avatar_url field to become virtual so that it is automatically calculated based on user's name",	 3 files changed, 18 insertions(+), 13 deletions(-)	
"ce25f6d","Benjamin Lister","Sat, 13 Apr 2024 23:20:58 +0100","IWP-42 | Address PR Comment",	 1 file changed, 2 deletions(-)	
"f094c33","xenono","Thu, 11 Apr 2024 03:25:19 +0200","Add adding new post to the feed when the ser scrolls to the bottom of the page.",	 4 files changed, 78 insertions(+), 22 deletions(-)	
"56a36a2","Benjamin Lister","Thu, 11 Apr 2024 00:53:28 +0100","IWP-42 | Changed radio buttons on the create_post form to be larger buttons for better usability",	 1 file changed, 60 insertions(+), 59 deletions(-)	
"89208c4","Benjamin Lister","Thu, 11 Apr 2024 00:45:49 +0100","IWP-42 | Added ability to make a new post to the system",	 8 files changed, 451 insertions(+), 55 deletions(-)	
"0fc1b2e","Benjamin Lister","Wed, 10 Apr 2024 23:38:09 +0100","IWP-42 | Reformatted post page in order to better flow",	 4 files changed, 339 insertions(+), 122 deletions(-)	
"58b1efa","Benjamin Lister","Wed, 10 Apr 2024 22:49:45 +0100","IWP-45 | Removed change password function from admin user management",	 1 file changed, 52 deletions(-)	
"fbed595","Benjamin Lister","Wed, 10 Apr 2024 22:47:44 +0100","IWP-45 | Added admin user management. Also added password reset functionality to user profile",	 13 files changed, 627 insertions(+), 81 deletions(-)	
"3ee512b","Benjamin Lister","Wed, 10 Apr 2024 21:10:28 +0100","IWP-45 | Modified admin dashboard to make it easier to access",	 2 files changed, 34 insertions(+), 7 deletions(-)	
"6cbd2d8","Benjamin Lister","Wed, 10 Apr 2024 17:14:42 +0100","IWP-32 | Address PR Comments",	 5 files changed, 27 insertions(+), 49 deletions(-)	
"fd228ac","Benjamin Lister","Wed, 3 Apr 2024 16:29:43 +0100","IWP-6 | Added post state updating",	 1 file changed, 11 insertions(+), 2 deletions(-)	
"b739521","Benjamin Lister","Wed, 3 Apr 2024 16:24:02 +0100","IWP-6 | Finished Suggestion Accepting",	 5 files changed, 44 insertions(+), 11 deletions(-)	
"59aec35","Benjamin Lister","Mon, 1 Apr 2024 19:33:43 +0100","IWP-6 | Added basic suggestion accepting",	 5 files changed, 155 insertions(+), 14 deletions(-)	
"323b6dc","Benjamin Lister","Mon, 1 Apr 2024 18:10:41 +0100","IWP-6 | Added suggestions and upvoting, along with ordering",	 8 files changed, 607 insertions(+), 79 deletions(-)	
"9fab747","Benjamin Lister","Sun, 31 Mar 2024 20:51:35 +0100","IWP-6 | Adjusted create_post to align the styles more accurately and to enable accurate map functionality",	 6 files changed, 141 insertions(+), 107 deletions(-)	
"dd68fad","Benjamin Lister","Sun, 31 Mar 2024 20:22:59 +0100","IWP-32 | Added comment liking",	 7 files changed, 138 insertions(+), 7 deletions(-)	
"ebdefdf","Benjamin Lister","Sun, 31 Mar 2024 19:57:55 +0100","IWP-32 | Added basic reply posting",	 6 files changed, 181 insertions(+), 16 deletions(-)	
"dc20169","Benjamin Lister","Sun, 31 Mar 2024 18:18:05 +0100","IWP-32 | Added basic comment posting",	 9 files changed, 176 insertions(+), 39 deletions(-)	
"2465a39","Koustav Muhuri","Sun, 31 Mar 2024 17:10:16 +0100","IWP-11_Search",	 3 files changed, 8 insertions(+), 6 deletions(-)	
"ce467d9","xenono","Sat, 30 Mar 2024 22:48:29 +0100","Add plant management page",	 3 files changed, 46 insertions(+), 6 deletions(-)	
"f702832","xenono","Sat, 30 Mar 2024 22:38:45 +0100","Add create post form",	 3 files changed, 178 insertions(+), 3 deletions(-)	
"6413863","Benjamin Lister","Sat, 30 Mar 2024 18:51:51 +0000","IWP-32 | Created Socket.io events for the plant_details page",	 5 files changed, 108 insertions(+), 1 deletion(-)	
"1bf0bd9","Benjamin Lister","Sat, 30 Mar 2024 18:20:05 +0000","IWP-32 | Added Map to Plant Details Page",	 7 files changed, 124 insertions(+), 70 deletions(-)	
"94b82d7","Koustav Muhuri","Fri, 29 Mar 2024 14:49:09 +0000","IWP-11||Search",	 1 file changed, 3 insertions(+), 3 deletions(-)	
"5865f02","Koustav Muhuri","Fri, 29 Mar 2024 14:42:57 +0000","IWP-11||Search",	 2 files changed, 2 insertions(+), 2 deletions(-)	
"e01b527","Koustav Muhuri","Fri, 29 Mar 2024 14:38:48 +0000","Search",	 5 files changed, 27 insertions(+), 46 deletions(-)	
"718695f","Benjamin Lister","Thu, 28 Mar 2024 18:30:02 +0000","IWP-32 | Added custom error handler page",	 4 files changed, 41 insertions(+), 1 deletion(-)	
"4df319e","Benjamin Lister","Thu, 28 Mar 2024 18:20:30 +0000","IWP-32 | Populated basic post information into form",	 8 files changed, 322 insertions(+), 272 deletions(-)	
"52b8bcb","Benjamin Lister","Thu, 28 Mar 2024 16:34:58 +0000","IWP-32 | Added Socket.IO",	 6 files changed, 245 insertions(+), 2 deletions(-)	
"ec4cd37","acp23yl","Wed, 27 Mar 2024 21:02:06 +0000","12",	 1 file changed, 92 insertions(+), 51 deletions(-)	
"b2843bc","Koustav Muhuri","Wed, 27 Mar 2024 12:22:19 +0000","IWP-11_Search",	 2 files changed, 16 insertions(+), 8 deletions(-)	
"8c00d8f","Koustav Muhuri","Wed, 27 Mar 2024 11:51:47 +0000","IWP-11_Search || Search",	 1 file changed, 5 deletions(-)	
"fa7fb2c","Koustav Muhuri","Wed, 27 Mar 2024 11:47:29 +0000","IWP-11_Search || Search and Sorting",	 4 files changed, 9 insertions(+), 20 deletions(-)	
"a342c2b","Benjamin Lister","Sun, 24 Mar 2024 22:20:07 +0000","IWP-31 | Addressed PR Comment",	 1 file changed, 1 deletion(-)	
"c5a1d62","Benjamin Lister","Sun, 24 Mar 2024 22:19:56 +0000","IWP-31 | Addressed PR Comment",	 1 file changed, 1 insertion(+), 2 deletions(-)	
"88c0987","xenono","Sun, 24 Mar 2024 20:34:01 +0100","IWP-1 | Include header in the navbar component",	 1 file changed, 1 insertion(+), 12 deletions(-)	
"0c5c068","xenono","Sun, 24 Mar 2024 20:29:50 +0100","IWP-4 | Add feed page.",	 4 files changed, 163 insertions(+), 4 deletions(-)	
"eb4b750","Benjamin Lister","Sun, 24 Mar 2024 18:33:56 +0000","IWP-31 | Added MongoDB Schemas and Enum types for the data available to this system",	 13 files changed, 531 insertions(+), 29 deletions(-)	
"d7dcd79","xenono","Sun, 24 Mar 2024 13:42:30 +0100","Remove redundant css and js from index, tweak div ids.",	 1 file changed, 6 insertions(+), 11 deletions(-)	
"8daab23","Koustav Muhuri","Fri, 22 Mar 2024 20:47:46 +0000","IWP-5 || Profile Page",	 4 files changed, 88 insertions(+), 86 deletions(-)	
"c3fe7d7","xenono","Fri, 22 Mar 2024 18:07:17 +0100","Add admin users management page",	 4 files changed, 116 insertions(+), 3 deletions(-)	
"eb1517b","xenono","Thu, 21 Mar 2024 22:30:04 +0100","Add landing page",	 9 files changed, 67 insertions(+), 13 deletions(-)	
"4fcf75f","Benjamin Lister","Sun, 17 Mar 2024 23:03:57 +0000","IWP-8 | Adjusted to use isLoggedIn variable instead of checking user type for checking if logged in",	 2 files changed, 7 insertions(+), 6 deletions(-)	
"a82c3c5","Koustav Muhuri","Sun, 17 Mar 2024 19:50:03 +0000","IWP-5",	 3 files changed, 88 insertions(+), 3 deletions(-)	
"3e1d9c1","Koustav Muhuri","Sat, 16 Mar 2024 07:23:59 +0000","IWP-11_Search",	 2 files changed, 57 insertions(+), 30 deletions(-)	
"4913443","Koustav Muhuri","Fri, 15 Mar 2024 21:47:15 +0000","IWP-9 | header and footer",	 1 file changed, 1 insertion(+), 2 deletions(-)	
"7b53311","Koustav Muhuri","Fri, 15 Mar 2024 21:42:27 +0000","IWP-9| Header and Footer",	 1 file changed, 1 deletion(-)	
"e2ae069","Koustav Muhuri","Fri, 15 Mar 2024 20:43:36 +0000","IWP-9 || Header and Footer",	 1 file changed, 1 insertion(+), 2 deletions(-)	
"d5e1099","Koustav Muhuri","Fri, 15 Mar 2024 20:32:08 +0000","IWP-11_Search",	 5 files changed, 59 insertions(+), 2 deletions(-)	
"291ed5f","Koustav Muhuri","Fri, 15 Mar 2024 13:50:36 +0000","IWP-9|Header and Footer",	 2 files changed, 6 insertions(+), 20 deletions(-)	
"84535d2","Koustav Muhuri","Thu, 14 Mar 2024 15:14:51 +0000","IWP-9 || Header and Footers",	 3 files changed, 24 insertions(+)	
"f71b33f","xenono","Tue, 12 Mar 2024 13:18:23 +0000","Address pr comments.",	 2 files changed, 1 insertion(+), 5 deletions(-)	
"425db48","xenono","Tue, 12 Mar 2024 12:28:13 +0000","IWP-7 | Fix responsivness.",	 4 files changed, 191 insertions(+), 4 deletions(-)	
"e8b1ea8","xenono","Tue, 12 Mar 2024 10:03:20 +0000","Remove irrelevant css",	 1 file changed, 4 deletions(-)	
"b3676d0","xenono","Tue, 12 Mar 2024 09:59:57 +0000","Use enum in the middleware",	 1 file changed, 4 insertions(+), 1 deletion(-)	
"f4a7d20","xenono","Tue, 12 Mar 2024 08:34:53 +0000","Add enum role types, add avatar url to the user schema.",	 3 files changed, 14 insertions(+), 1 deletion(-)	
"f4328d1","Benjamin Lister","Mon, 11 Mar 2024 16:33:02 +0000","IWP-8 | Added Notification Icon to Navbar",	 3 files changed, 50 insertions(+), 1 deletion(-)	
"7c82c8a","xenono","Mon, 11 Mar 2024 15:35:29 +0000","Add registering users.",	 2 files changed, 32 insertions(+), 5 deletions(-)	
"3e6e397","xenono","Mon, 11 Mar 2024 15:30:19 +0000","Setup passpot and basic authentication",	 13 files changed, 734 insertions(+), 215 deletions(-)	
"bc47686","xenono","Mon, 11 Mar 2024 14:30:31 +0000","Add form for sorting and filtering notifications.",	 1 file changed, 23 insertions(+), 12 deletions(-)	
"a2c4701","xenono","Mon, 11 Mar 2024 04:11:53 +0000","IWP-7 Add initial static page.",	 4 files changed, 174 insertions(+), 3 deletions(-)	
"0d68217","Benjamin Lister","Sun, 10 Mar 2024 19:07:16 +0000","IWP-8 | Added Navbar Component",	 6 files changed, 127 insertions(+), 9 deletions(-)	
"ca93b93","xenono","Sun, 10 Mar 2024 18:55:44 +0000","IWP-2 | Added login and registration page.",	 6 files changed, 87 insertions(+), 10 deletions(-)	
"17d3e09","Benjamin Lister","Sun, 10 Mar 2024 18:00:01 +0000","IWP-14 | Addressed PR Comment",	 1 file changed, 4 deletions(-)	
"e6a283f","Benjamin Lister","Sat, 9 Mar 2024 01:11:16 +0000","IWP-14 | Fixed formatting",	 2 files changed, 59 insertions(+), 58 deletions(-)	
"fe3474e","Benjamin Lister","Fri, 8 Mar 2024 21:39:10 +0000","IWP-14 | Added plant details page in full",	 7 files changed, 660 insertions(+), 24 deletions(-)	
"1e8a99b","Benjamin Lister","Fri, 8 Mar 2024 15:48:08 +0000","IWP-14 | More work on plant details",	 3 files changed, 67 insertions(+), 11 deletions(-)	
"3dd132e","Benjamin Lister","Wed, 6 Mar 2024 18:40:48 +0000","IWP-14 | Initial work on Plant Post",	 5 files changed, 78 insertions(+), 7 deletions(-)	
"0b0a6c5","Benjamin Lister","Sat, 2 Mar 2024 03:50:56 +0000","IWP-15 | Initial Configuration of Repo IWP-10 | Added Debug Routes Setup Folder Structure and Routing Installed dotEnv and configured to load into process Implemented debug routes and pages to access all available routes",	 26 files changed, 377 insertions(+), 18 deletions(-)	
"7fa3f9d","Benjamin Lister","Fri, 1 Mar 2024 19:21:54 +0000","Initial Commit",	 17 files changed, 1232 insertions(+)	
"4604c25","Benjamin Lister","Thu, 29 Feb 2024 10:43:25 +0000","Initial commit",	 2 files changed, 132 insertions(+)	
